"LATEST_COUNTED_DHSS_REGION","county","ONSET_DATE","CASES"
"EASTERN","St louis",2020-05-03,82
"EASTERN","St Charles",2020-05-03,14
"NORTHWEST","Kansas City",2020-05-03,8
"NORTHWEST","Kansas City",2020-05-04,28
"EASTERN","St louis",2020-05-05,59
"NORTHWEST","Kansas City",2020-05-05,13
"EASTERN","St Charles",2020-05-05,7
"EASTERN","St Charles",2020-05-04,6
"EASTERN","St louis",2020-05-06,124
"NORTHWEST","Kansas City",2020-05-06,24
"NORTHWEST","Kansas City",2020-05-07,19
"EASTERN","St Charles",2020-05-06,7
"EASTERN","St louis",2020-05-11,52
"EASTERN","St louis",2020-05-13,87
"EASTERN","St Charles",2020-05-07,8
"EASTERN","St louis",2020-05-08,82
"NORTHWEST","Kansas City",2020-05-08,13
"EASTERN","St louis",2020-05-09,47
"EASTERN","St Charles",2020-05-08,4
"NORTHWEST","Kansas City",2020-05-09,9
"EASTERN","St louis",2020-05-10,47
"NORTHWEST","Kansas City",2020-05-10,7
"NORTHWEST","Kansas City",2020-05-11,14
"EASTERN","St Charles",2020-05-11,8
"NORTHWEST","Kansas City",2020-05-12,12
"EASTERN","St Charles",2020-05-12,6
"EASTERN","St louis",2020-05-12,69
"NORTHWEST","Kansas City",2020-05-13,23
"EASTERN","St louis",2020-05-14,83
"EASTERN","St Charles",2020-05-13,3
"NORTHWEST","Kansas City",2020-05-14,19
"NORTHWEST","Kansas City",2020-05-15,14
"EASTERN","St louis",2020-05-15,59
"EASTERN","St louis",2020-05-16,47
"EASTERN","St Charles",2020-05-14,3
"NORTHWEST","Kansas City",2020-05-16,14
"EASTERN","St Charles",2020-05-16,4
"EASTERN","St Charles",2020-05-15,1
"NORTHWEST","Kansas City",2020-05-17,8
"EASTERN","St louis",2020-05-17,41
"EASTERN","St Charles",2020-05-17,3
"NORTHWEST","Kansas City",2020-05-18,2
"EASTERN","St louis",2020-05-18,17
"EASTERN","St Charles",2020-03-09,1
"EASTERN","St Charles",2020-05-09,1
